bc,bcm,bcode,bname,hd,mbc,oc,sca,sc,st
94.50,107.75,CS,Computer Science And Engineering,2329 . Rathinam Technical Campus,,109.75,,82.00,
167.00,158.00,ME,Mechanical Engineering,1140 . Jeppiaar Institute Of Technology,153.50,170.75,,122.25,
,,ME,Mechanical Engineering,1518 . Thiruvalluvar College Of Engineering And Technology,,102.25,,,
176.75,170.25,CE,Civil Engineering,1516 . Thanthai Periyar Govt Institute Of Technology,177.75,182.00,138.75,164.50,
108.25,,CS,Computer Science And Engineering,2641 . Varuvan Vadivelan Institute Of Technology,98.25,136.50,,,
90.50,,EE,Electrical And Electronics Engineering,2613 . K.S.R. College Of Engineering (AUT),86.00,132.50,,,
188.00,179.00,EC,Electronics And Comm. Engineering,2706 . DR.Mahalingam College Of Engineering & Technology (AUT),178.25,189.25,142.75,153.75,
179.50,168.00,EE,Electrical And Electronics Engineering,1149 . ST.Joseph's Institute Of Technology,174.75,181.75,,137.00,
183.75,183.00,CH,Chemical Engineering,2711 . Kongu Engineering College,176.25,188.00,133.25,139.50,
,,CS,Computer Science And Engineering,2358 . Scad Institute Of Technology,,93.25,,,
,,CE,Civil Engineering,4677 . Lourdes Mount College Of Engineering And Technology,,91.00,,,
,,CS,Computer Science And Engineering,4928 . MAR Ephraem College Of Engineering And Technology,,93.25,,,
97.50,,CE,Civil Engineering,2651 . Jay Shriram Group Of Institutions,104.75,114.75,,,
95.50,90.75,ME,Mechanical Engineering,1452 . Peri Institute Of Technology,79.50,115.75,,83.25,
,,CE,Civil Engineering,2746 . Ktvr Knowledge Park For Engineering And Technology,,109.25,,,
105.25,,EC,Electronics And Comm. Engineering,4934 . Holy Cross Engineering College,104.50,145.00,,,
,,EE,Electrical And Electronics Engineering,5919 . St.Michael College Of Engineering & Technology,,111.50,,,
,,ME,Mechanical Engineering,1508 . Arunai College Of Engineering,,80.50,,,
,,EC,Electronics And Comm. Engineering,2327 . N.S.N. College Of Engineering And Technology,,87.50,,,
,,EC,Electronics And Comm. Engineering,4941 . Unnamalai Institute Of Technology,,100.50,,,
,,CE,Civil Engineering,4973 . Rajas Engineering College,,101.50,,,
87.25,,EE,Electrical And Electronics Engineering,4981 . Ponjesly College Of Engineering,113.00,135.25,,,
174.25,170.75,CS,Computer Science And Engineering,1026 . University College Of Engineering- Kanchipuram,172.00,180.25,142.00,159.00,135.75
,,EE,Electrical And Electronics Engineering,2655 . V K S College Of Engineering And Technology,,168.25,,,
,,CS,Computer Science And Engineering,1214 . Sakthi Mariamman Engineering College,,106.75,,,
80.00,85.75,CS,Computer Science And Engineering,2628 . Paavai College Of Engineering,,109.50,,,
,,EC,Electronics And Comm. Engineering,5535 . Vpv College Of Engineering,,114.50,,,
109.75,103.75,EC,Electronics And Comm. Engineering,1316 . Agni College Of Technology,99.75,147.75,,85.50,
,,EE,Electrical And Electronics Engineering,1507 . Ganadipathy Tulsi's Jain Engineering College,,81.00,,,
,,EE,Electrical And Electronics Engineering,1423 . Asan Memorial College Of Engineering And Technology,,93.00,,,
109.75,137.00,ME,Mechanical Engineering,2345 . Dhirajlal Gandhi College Of Technology,143.25,157.75,142.25,102.50,
167.75,153.75,EC,Electronics And Comm. Engineering,5009 . Government College Of Engineering- Bodiyanayakkanur,161.50,177.25,149.50,142.00,
100.25,109.75,EE,Electrical And Electronics Engineering,2664 . S R S College Of Engineering And Technology,100.50,124.25,,109.50,
,,CS,Computer Science And Engineering,1438 . Sree Krishna College Of Engineering,,82.50,,,
93.25,101.25,CS,Computer Science And Engineering,1523 . Global Institute Of Engineering And Technology,91.25,121.25,,82.50,
153.75,145.25,CS,Computer Science And Engineering,1114 . S.A. Engineering College,142.50,159.25,,124.25,
182.25,185.00,ME,Mechanical Engineering,2603 . Government College Of Engineering - Bargur,181.50,186.75,154.00,168.00,
,,EE,Electrical And Electronics Engineering,1333 . Vi Institute Of Technology,,98.00,,,
196.50,196.00,EC,Electronics And Comm. Engineering,2005 . Government College Of Technology- Coimbatore (Aut),195.25,196.75,190.00,192.25,
97.25,105.75,CE,Civil Engineering,4672 . Stella Mary's College Of Engineering,91.25,117.00,,,
148.00,145.25,CE,Civil Engineering,2726 . SNS College Of Technology (AUT),133.75,156.75,,100.75,
91.00,,CS,Computer Science And Engineering,5912 . Pandian Saraswathi Yadav Engineering College,86.00,106.50,,,
166.00,162.00,EE,Electrical And Electronics Engineering,1399 . Chennai Institute Of Technology,146.25,179.75,,89.00,
144.00,109.75,CE,Civil Engineering,1399 . Chennai Institute Of Technology,125.00,164.75,,106.25,
,,CS,Computer Science And Engineering,2767 . SRG Engineering College,,134.75,,,
192.25,187.75,ME,Mechanical Engineering,2615 . Government College Of Engineering - Salem (AUT),191.25,193.25,183.50,177.00,165.00
92.25,,EC,Electronics And Comm. Engineering,4968 . Sardar Raja College Of Engineering,103.75,134.75,,,
,,CE,Civil Engineering,1331 . Aksheyaa College Of Engineering,,113.25,,,
,,EC,Electronics And Comm. Engineering,2639 . Narasu's Sarathy Institute Of Technology,,82.25,,,
,,EC,Electronics And Comm. Engineering,2659 . Salem College Of Engineering And Technology,,85.50,,,
,,CE,Civil Engineering,1217 . Sree Sastha Institute Of Engineering And Technology,,102.25,,,
,,EE,Electrical And Electronics Engineering,2358 . Scad Institute Of Technology,,104.75,,,
184.00,170.50,EE,Electrical And Electronics Engineering,1128 . R.M.K. College Of Engineering And Technology,172.75,184.75,,151.00,
101.25,,EE,Electrical And Electronics Engineering,2602 . Annai Mathammal Sheela Engineering College,89.25,138.25,,,
89.75,,ME,Mechanical Engineering,4976 . Infant Jesus College Of Engineering,118.25,124.75,,,
189.25,185.75,CE,Civil Engineering,2718 . Sri Krishna College Of Engineering & Technology (AUT),185.75,190.00,155.25,164.25,
187.50,174.75,CS,Computer Science And Engineering,2702 . Bannari Amman Institute Of Technology (AUT),179.75,188.75,94.75,115.25,
133.75,124.75,CH,Chemical Engineering,2611 . Paavai Engineering College (AUT),151.00,166.50,,110.00,
97.25,,EC,Electronics And Comm. Engineering,2715 . Nandha Engineering College (AUT),105.50,140.25,,,
,,EC,Electronics And Comm. Engineering,1431 . New Prince Shri Bhavani College Of Engineering And Technology,85.50,93.25,,,
119.75,143.75,EC,Electronics And Comm. Engineering,2710 . Karpagam College Of Engineering (AUT),120.75,156.75,,,
,,EC,Electronics And Comm. Engineering,2732 . Info Institute Of Engineering,,93.25,,,
,,EC,Electronics And Comm. Engineering,1438 . Sree Krishna College Of Engineering,,95.00,,,
90.75,122.50,CH,Chemical Engineering,2666 . The Kavery College Of Engineering,121.00,151.50,,,
196.25,194.00,CS,Computer Science And Engineering,5008 . Thiagarajar College Of Engineering (AUT),193.25,196.75,189.75,184.00,
,,EC,Electronics And Comm. Engineering,5988 . Theni Kammavar Sangam College Of Technology,,89.25,,,
,,ME,Mechanical Engineering,1519 . Bharathidasan Engineering College,,85.25,,,
,,EC,Electronics And Comm. Engineering,2367 . Arjun College Of Technology,,87.25,,,
106.00,,EC,Electronics And Comm. Engineering,4864 . V V College Of Engineering,,142.75,,,
147.75,138.25,CS,Computer Science And Engineering,2357 . V.S.B. College Of Engineering Technical Campus,81.25,173.00,,,
100.50,97.00,CS,Computer Science And Engineering,4975 . Dr.G.U.Pope College Of Engineering,,109.00,,,
,,ME,Mechanical Engineering,2732 . Info Institute Of Engineering,,83.75,,,
,,EE,Electrical And Electronics Engineering,2757 . Tejaa Shakthi Institute Of Technology For Women,,114.50,,,
94.50,100.00,CS,Computer Science And Engineering,5935 . Fatima Michael College Of Engineering And Technology,88.00,105.75,,,
,,CE,Civil Engineering,5915 . SACS M.A.V.M.M Engineering College,,91.25,,,
164.00,164.50,CS,Computer Science And Engineering,1509 . Meenakshi College Of Engineering,151.50,173.00,98.50,128.00,
,,CE,Civil Engineering,2625 . The Kavery Engineering College,,78.75,,,
,,CE,Civil Engineering,2632 . Mahendra Institute Of Technology,,84.00,,,
93.25,131.75,CS,Computer Science And Engineering,4994 . J P College Of Engineering,83.75,136.75,,,
,,EC,Electronics And Comm. Engineering,1242 . Sree Sastha College Of Engineering,,87.75,,,
,,ME,Mechanical Engineering,1214 . Sakthi Mariamman Engineering College,,77.50,,,
95.00,,EE,Electrical And Electronics Engineering,1520 . Kingston Engineering College,101.50,108.75,,103.25,
134.75,118.75,EE,Electrical And Electronics Engineering,4959 . Kamaraj College Of Engineering And Technology,87.25,147.50,,104.00,
186.50,177.75,CE,Civil Engineering,1317 . St.Joseph's College Of Engineering,183.75,187.75,123.00,165.50,
182.25,169.75,EE,Electrical And Electronics Engineering,2618 . Sona College Of Technology,179.00,184.75,149.25,137.25,128.25
,,EE,Electrical And Electronics Engineering,1441 . A.K.T. Memorial College Of Engineering And Technology,,87.00,,,
96.75,,ME,Mechanical Engineering,1225 . Loyola Institute Of Technology,79.25,128.25,,97.75,
,,EE,Electrical And Electronics Engineering,2666 . The Kavery College Of Engineering,,87.25,,,
195.25,194.00,EC,Electronics And Comm. Engineering,2377 . PSG Institute Of Technology And Applied Research,193.00,196.00,186.25,178.25,
152.75,132.25,ME,Mechanical Engineering,1320 . Jeppiaar Srr Engineering College,148.25,160.75,,115.75,
,,EC,Electronics And Comm. Engineering,1605 . Idhaya Engineering College For Women,,109.00,,,
,,EE,Electrical And Electronics Engineering,1445 . Sri Rangapoopathi College Of Engineering,,82.25,,,
,,CS,Computer Science And Engineering,2662 . Dr.Nagarathinam's College Of Engineering,,115.50,,,
,,EE,Electrical And Electronics Engineering,2340 . Sri Venkateshwara Institute Of Engineering,,132.75,,,
,,EC,Electronics And Comm. Engineering,1226 . P.T. Lee Chengalvaraya Naicker College Of Engineering And Technology,,123.25,,,
,,EC,Electronics And Comm. Engineering,2631 . King College Of Technology,,106.00,,,
87.25,,CS,Computer Science And Engineering,4981 . Ponjesly College Of Engineering,80.75,112.00,,,
,,CE,Civil Engineering,1406 . DR.Pauls Engineering College,,97.00,,,
,,ME,Mechanical Engineering,5911 . P.T.R.College Of Engineering And Technology,,95.00,,,
,,CE,Civil Engineering,1110 . Prathyusha Engineering College,,90.00,,,
,,EC,Electronics And Comm. Engineering,5916 . Pannai College Of Engineering And Technology,,162.75,,,
112.00,,EE,Electrical And Electronics Engineering,2683 . Shreenivasa Engineering College,82.25,123.75,,,
,,ME,Mechanical Engineering,1333 . Vi Institute Of Technology,,85.75,,,
,,CE,Civil Engineering,1449 . Saraswathy College Of Engineering & Technology,,85.50,,,
145.00,161.25,GI,Geo- - - - - - - - -Informatics,4024 . University Voc College Of Engineering- Thoothukudi,119.50,168.25,123.00,146.00,
92.00,,EC,Electronics And Comm. Engineering,1331 . Aksheyaa College Of Engineering,106.50,142.75,,,
171.75,100.75,EC,Electronics And Comm. Engineering,2764 . K P R Institute Of Engineering And Technology,147.75,177.00,,176.75,
90.75,,EC,Electronics And Comm. Engineering,2713 . M.P. Nachimuthu M. Jaganathan Engineering College,82.50,148.25,,,
88.00,,CS,Computer Science And Engineering,1331 . Aksheyaa College Of Engineering,85.25,168.50,,113.00,
166.00,156.50,ME,Mechanical Engineering,1118 . Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College,161.50,170.75,98.75,129.25,
93.00,,ME,Mechanical Engineering,2673 . Sree Sakthi Engineering College,91.25,114.75,,,
95.25,97.00,ME,Mechanical Engineering,5935 . Fatima Michael College Of Engineering And Technology,104.75,107.00,,,
94.00,111.75,EE,Electrical And Electronics Engineering,2610 . Muthayammal Engineering College (AUT),80.75,134.00,,85.50,
188.50,187.75,CH,Chemical Engineering,1219 . Sri Venkateswara College Of Engineering (AUT),184.25,191.25,,163.50,145.25
193.00,190.25,TX,Textile Technology,2006 . P.S.G. College Of Technology (Aut),190.75,194.00,163.75,169.75,
,,ME,Mechanical Engineering,4983 . Lord Jegannath College Of Engineering And Technology,,89.75,,,
,,ME,Mechanical Engineering,1526 . Sri Krishna College Of Engineering,,89.75,,,
,,CE,Civil Engineering,4675 . Universal College Of Engineering & Technology,,106.50,,,
,,ME,Mechanical Engineering,2355 . Cheran College Of Engineering,,82.25,,,
,,CE,Civil Engineering,5942 . Ultra College Of Engineering And Technology For Women,,126.00,,,
113.50,86.25,ME,Mechanical Engineering,4992 . Bethlahem Institute Of Engineering,,122.25,,,
160.50,106.00,EE,Electrical And Electronics Engineering,2653 . Knowledge Institute Of Technology,153.00,171.75,,130.00,
,,CS,Computer Science And Engineering,2737 . Ranganathan Engineering College,,100.00,,,
,,CE,Civil Engineering,4980 . Einstein College Of Engineering,,90.25,,,
,,CE,Civil Engineering,2609 . Mahendra Engineering College,,81.00,,,
85.00,89.00,ME,Mechanical Engineering,4969 . Scad College Of Engineering And Technology,90.75,123.25,,,
,,EC,Electronics And Comm. Engineering,2757 . Tejaa Shakthi Institute Of Technology For Women,,86.50,,,
184.00,182.75,CE,Civil Engineering,4960 . Mepco Schlenk Engineering College (AUT),179.00,186.50,111.25,159.50,108.75
,,EC,Electronics And Comm. Engineering,1221 . Jaya College Of Engineering And Technology,,98.25,,,
,,CS,Computer Science And Engineering,1133 . Annai Veilankanni's College Of Engineering,,90.00,,,
93.00,98.50,CE,Civil Engineering,2345 . Dhirajlal Gandhi College Of Technology,117.25,151.75,,101.50,
,,CE,Civil Engineering,2358 . Scad Institute Of Technology,,100.25,,,
,,CE,Civil Engineering,5990 . Latha Mathavan Engineering College,,97.25,,,
80.50,95.50,CS,Computer Science And Engineering,2630 . Chettinad College Of Engineering And Technology,,129.50,,,
,,CS,Computer Science And Engineering,2714 . Maharaja Engineering College,,91.50,,,
,,EE,Electrical And Electronics Engineering,1420 . Tagore Engineering College,,78.50,,,
100.50,,EC,Electronics And Comm. Engineering,2609 . Mahendra Engineering College,89.50,119.25,,,
,,CS,Computer Science And Engineering,1434 . Surya Group Of Institutions,,113.75,,,
133.50,95.50,CS,Computer Science And Engineering,2613 . K.S.R. College Of Engineering (AUT),108.75,158.00,,142.50,
,,CS,Computer Science And Engineering,1427 . Sri Ramanujar Engineering College,,88.25,,,
178.75,169.50,EE,Electrical And Electronics Engineering,1419 . Sri Sairam Engineering College,172.75,182.75,120.75,138.00,144.25
191.25,188.75,CE,Civil Engineering,2712 . Kumaraguru College Of Technology (AUT),188.75,192.50,175.00,169.50,155.00
,,EE,Electrical And Electronics Engineering,1442 . Prince Dr.K.Vasudevan College Of Engineering And Technology,,97.25,,,
,,EC,Electronics And Comm. Engineering,5912 . Pandian Saraswathi Yadav Engineering College,,89.50,,,
,,CS,Computer Science And Engineering,2732 . Info Institute Of Engineering,,98.75,,,
,,CS,Computer Science And Engineering,5532 . Vaigai College Of Engineering,,94.25,,,
163.50,151.25,EC,Electronics And Comm. Engineering,1216 . Saveetha Engineering College,153.00,170.25,113.50,120.25,
90.75,,EE,Electrical And Electronics Engineering,5930 . SBM College Of Engineering And Technology,88.25,97.25,,,
115.75,103.50,ME,Mechanical Engineering,4928 . MAR Ephraem College Of Engineering And Technology,96.75,134.75,,,
104.25,,EC,Electronics And Comm. Engineering,4680 . AAA College Of Engineering And Technology,,138.50,133.75,,
193.50,188.75,CS,Computer Science And Engineering,2615 . Government College Of Engineering - Salem (AUT),192.00,194.00,172.25,177.00,
,,EE,Electrical And Electronics Engineering,1605 . Idhaya Engineering College For Women,,102.50,,,
85.50,112.50,EC,Electronics And Comm. Engineering,2624 . Gnanamani College Of Technology,104.50,142.00,,120.75,
104.00,98.50,EC,Electronics And Comm. Engineering,1233 . Adhi College Of Engineering And Technology,95.25,153.00,,101.00,
91.00,103.25,CE,Civil Engineering,2601 . Adhiyamaan College Of Engineering (AUT),80.50,108.00,86.50,88.50,
90.75,102.50,CS,Computer Science And Engineering,2623 . Mahendra College Of Engineering,84.25,116.00,,,
,,CS,Computer Science And Engineering,4964 . PSN College Of Engineering And Technology (AUT),,91.00,,,
89.25,,CS,Computer Science And Engineering,5720 . Sri Subramanya College Of Engineering And Technology,,90.50,,,
123.50,107.25,CE,Civil Engineering,2607 . K.S.Rangasamy College Of Technology (AUT),120.75,152.00,130.75,120.75,
167.75,151.00,ME,Mechanical Engineering,4678 . Ramco Institute Of Technology,159.00,174.25,,121.50,
,,EE,Electrical And Electronics Engineering,4995 . P.S.R.Rengasamy College Of Engineering For Women,,106.50,,,
,,CS,Computer Science And Engineering,1201 . Arignar Anna Institute Of Science And Technology,,92.00,,,
92.00,,ME,Mechanical Engineering,4864 . V V College Of Engineering,99.25,130.25,,,
156.00,153.75,CE,Civil Engineering,5009 . Government College Of Engineering- Bodiyanayakkanur,152.75,161.00,156.00,141.75,
,,EC,Electronics And Comm. Engineering,1325 . ST.Joseph College Of Engineering,,96.50,,,
,,CS,Computer Science And Engineering,1228 . Alpha College Of Engineering,,97.75,,,
,,CS,Computer Science And Engineering,2655 . V K S College Of Engineering And Technology,,94.00,,,
,,CS,Computer Science And Engineering,4945 . Vins Christian Women's College Of Engineering,,102.00,,,
86.75,,ME,Mechanical Engineering,2356 . Arulmurugan College Of Engineering,79.50,111.50,,,
,,EE,Electrical And Electronics Engineering,4987 . James College Of Engineering And Technology,,135.25,,,
148.50,156.00,ME,Mechanical Engineering,1216 . Saveetha Engineering College,147.75,160.75,,114.75,
195.50,193.50,EE,Electrical And Electronics Engineering,1315 . Sri Sivasubramaniya Nadar College Of Engineering,193.00,196.00,165.25,184.75,163.50
,,EC,Electronics And Comm. Engineering,2646 . Tagore Institute Of Engineering And Technology,,88.25,,,
,,EC,Electronics And Comm. Engineering,5935 . Fatima Michael College Of Engineering And Technology,,87.75,,,
,,EC,Electronics And Comm. Engineering,1208 . Kanchi Pallavan Engineering College,,139.50,,,
,,ME,Mechanical Engineering,1116 . Sri Venkateswara College Of Engineering And Technology,,78.25,,,
,,CE,Civil Engineering,1241 . T.J.S. Engineering College,,102.75,,,
160.25,111.75,EC,Electronics And Comm. Engineering,2608 . M.Kumarasamy College Of Engineering (AUT),85.00,177.50,123.25,136.00,
,,CE,Civil Engineering,2748 . Surya Engineering College,,88.50,,,
88.25,,EE,Electrical And Electronics Engineering,4675 . Universal College Of Engineering & Technology,,88.75,,,
98.75,86.25,CE,Civil Engineering,1316 . Agni College Of Technology,103.75,134.50,,,
154.50,145.00,EE,Electrical And Electronics Engineering,1320 . Jeppiaar Srr Engineering College,145.75,162.50,,112.00,
,,CE,Civil Engineering,1209 . Pallavan College Of Engineering,,101.25,,,
,,ME,Mechanical Engineering,5942 . Ultra College Of Engineering And Technology For Women,,122.25,,,
86.00,100.25,EE,Electrical And Electronics Engineering,4917 . Sethu Institute Of Technology (AUT),,118.00,,81.75,
,,CE,Civil Engineering,2646 . Tagore Institute Of Engineering And Technology,,135.50,,,
109.50,99.25,EE,Electrical And Electronics Engineering,1512 . S.K.P. Engineering College,89.00,126.75,,126.25,
86.25,103.00,EC,Electronics And Comm. Engineering,5930 . SBM College Of Engineering And Technology,94.75,114.75,,,
163.50,142.50,CS,Computer Science And Engineering,4959 . Kamaraj College Of Engineering And Technology,144.00,173.25,,118.75,
166.25,123.00,EC,Electronics And Comm. Engineering,2357 . V.S.B. College Of Engineering Technical Campus,97.25,179.75,,99.00,
,,CS,Computer Science And Engineering,1121 . Sri Venkateswara Institute Of Science And Technology,,87.00,,,
,,CS,Computer Science And Engineering,2772 . C M S College Of Engineering And Technology,,129.25,,,
,,EC,Electronics And Comm. Engineering,2650 . Christ The King Engineering College,,126.50,,,
,,EC,Electronics And Comm. Engineering,4964 . PSN College Of Engineering And Technology (AUT),,103.50,,,
96.50,92.75,CS,Computer Science And Engineering,2627 . Selvam College Of Technology,88.50,115.50,,,
,,EC,Electronics And Comm. Engineering,2356 . Arulmurugan College Of Engineering,,82.00,,,
,,CS,Computer Science And Engineering,5533 . KIR & Kim Technical Campus,,93.00,,,
,,EC,Electronics And Comm. Engineering,4967 . S.Veerasamy Chettiar College Of Engineering And Technology,,100.75,,,
,,ME,Mechanical Engineering,2682 . Professional Group Of Institutions,,95.25,,,
,,CE,Civil Engineering,4956 . Jayamatha Engineering College,,130.50,,,
,,CS,Computer Science And Engineering,2682 . Professional Group Of Institutions,,86.75,,,
175.50,175.25,EC,Electronics And Comm. Engineering,5022 . University College Of Engineering- Dindigul,168.50,181.25,150.00,146.25,
175.50,170.00,CE,Civil Engineering,2618 . Sona College Of Technology,170.00,179.75,166.25,145.50,
,,CS,Computer Science And Engineering,1229 . Indira Institute Of Engineering And Technology,,83.25,,,
,,EC,Electronics And Comm. Engineering,1426 . Sri Ramanujar Engineering College,,85.75,,,
99.25,,EE,Electrical And Electronics Engineering,2347 . Avs College Of Technology,85.75,122.00,,,
89.50,126.25,CE,Civil Engineering,5907 . Mohamed Sathak Engineering College,89.50,139.75,,100.75,
,,CE,Civil Engineering,2643 . Bharathiyar Institute Of Engineering For Women,,98.75,,,
129.25,120.25,ME,Mechanical Engineering,4672 . Stella Mary's College Of Engineering,104.00,144.50,,131.25,
,,CE,Civil Engineering,1405 . Dhanalakshmi College Of Engineering,,87.25,,,
,,EE,Electrical And Electronics Engineering,1402 . Annai Teresa College Of Engineering,,83.75,,,
163.00,153.50,CE,Civil Engineering,5910 . PSNA College Of Engineering And Technology,152.25,170.50,,101.25,
93.25,,CE,Civil Engineering,5988 . Theni Kammavar Sangam College Of Technology,103.25,104.75,,,
,,ME,Mechanical Engineering,5919 . St.Michael College Of Engineering & Technology,87.75,97.50,,,
,,EE,Electrical And Electronics Engineering,1405 . Dhanalakshmi College Of Engineering,,92.50,,,
91.50,,CS,Computer Science And Engineering,5703 . Christian College Of Engineering And Technology,82.00,115.25,90.00,,
,,CS,Computer Science And Engineering,2625 . The Kavery Engineering College,,80.00,,,
,,EC,Electronics And Comm. Engineering,1421 . V.R.S. College Of Engineering And Technology,,96.50,,,
160.75,150.50,ME,Mechanical Engineering,2739 . Sri Eshwar College Of Engineering,150.25,169.50,,81.00,
88.00,,ME,Mechanical Engineering,1447 . Jawahar Engineering College,96.50,121.25,,97.50,
,,ME,Mechanical Engineering,2647 . J.K.K. Nattraja College Of Engineering And Technology,,91.00,,,
,,CE,Civil Engineering,4978 . Udaya School Of Engineering,,95.00,,,
,,EC,Electronics And Comm. Engineering,1201 . Arignar Anna Institute Of Science And Technology,,88.50,,,
,,EE,Electrical And Electronics Engineering,2362 . Hosur Institute Of Technology And Science,,141.25,,,
,,EC,Electronics And Comm. Engineering,4953 . Cape Institute Of Technology,,85.50,,,
,,EC,Electronics And Comm. Engineering,2640 . Jayalakshmi Institute Of Technology,,87.50,,,
108.25,128.50,CE,Civil Engineering,1311 . K.C.G. College Of Technology,92.00,131.50,,79.50,
,,ME,Mechanical Engineering,2770 . Kalaivani College Of Technology,,101.75,,,
,,ME,Mechanical Engineering,4929 . M.E.T Engineering College,,105.00,,,
93.25,,CS,Computer Science And Engineering,1313 . SMK Fomra Institute Of Technology,84.50,108.00,,,
180.00,178.25,EC,Electronics And Comm. Engineering,5910 . PSNA College Of Engineering And Technology,168.50,184.00,119.00,132.75,
,,EE,Electrical And Electronics Engineering,2633 . Vidyaa Vikas College Of Engineering And Technology,,132.00,,,
,,CE,Civil Engineering,1226 . P.T. Lee Chengalvaraya Naicker College Of Engineering And Technology,,124.50,,,
176.75,164.75,CE,Civil Engineering,2706 . DR.Mahalingam College Of Engineering & Technology (AUT),166.50,180.00,172.75,121.50,
,,EE,Electrical And Electronics Engineering,1225 . Loyola Institute Of Technology,,94.50,,,
,,EC,Electronics And Comm. Engineering,1230 . Apollo Engineering College,,89.50,,,
150.75,138.75,ME,Mechanical Engineering,1131 . Vel Tech,144.75,159.25,82.00,111.75,
,,CS,Computer Science And Engineering,4973 . Rajas Engineering College,,99.75,,,
91.75,,CE,Civil Engineering,2648 . Annapoorana Engineering College,93.00,94.50,,,
119.00,143.75,CS,Computer Science And Engineering,2624 . Gnanamani College Of Technology,105.00,145.25,,,
,,EE,Electrical And Electronics Engineering,2657 . Pavai College Of Technology,,102.50,,,
,,ME,Mechanical Engineering,1525 . Podhigai College Of Engineering And Technology,,83.75,,,
,,CS,Computer Science And Engineering,1508 . Arunai College Of Engineering,,94.75,,,
,,EE,Electrical And Electronics Engineering,2765 . Sriguru Institute Of Technology,,131.00,,,
88.75,,ME,Mechanical Engineering,1523 . Global Institute Of Engineering And Technology,89.00,97.00,,82.50,
130.75,117.50,CS,Computer Science And Engineering,2751 . KGISL Institute Of Technology,90.50,153.75,,136.25,
,,ME,Mechanical Engineering,2765 . Sriguru Institute Of Technology,,103.75,,,
156.00,123.75,EE,Electrical And Electronics Engineering,1015 . University College Of Engineering- Arni,155.50,166.25,96.50,137.75,138.00
,,EE,Electrical And Electronics Engineering,2631 . King College Of Technology,,111.00,,,
,,CS,Computer Science And Engineering,4675 . Universal College Of Engineering & Technology,,88.25,,,
193.00,187.50,EC,Electronics And Comm. Engineering,2718 . Sri Krishna College Of Engineering & Technology (AUT),189.25,193.50,155.75,166.25,164.75
,,ME,Mechanical Engineering,2635 . CMS College Of Engineering,,95.00,,,
187.50,183.25,ME,Mechanical Engineering,1304 . Easwari Engineering College,181.00,189.50,95.75,162.00,
,,ME,Mechanical Engineering,2743 . Dhanalakshmi Srinivasan College Of Engineering,,102.25,,,
153.25,152.25,EC,Electronics And Comm. Engineering,5530 . SSM  Institute Of Engineering And Technology,110.00,160.75,,97.25,
,,CE,Civil Engineering,2655 . V K S College Of Engineering And Technology,,89.75,,,
,,CE,Civil Engineering,4928 . MAR Ephraem College Of Engineering And Technology,87.00,113.25,,,
,,EE,Electrical And Electronics Engineering,1409 . Karpaga Vinayaga College Of Engineering And Technology,,96.50,,,
,,EE,Electrical And Electronics Engineering,1226 . P.T. Lee Chengalvaraya Naicker College Of Engineering And Technology,,96.50,,,
,,EE,Electrical And Electronics Engineering,2659 . Salem College Of Engineering And Technology,,117.00,,,
99.25,,EC,Electronics And Comm. Engineering,4670 . Rohini College Of Engineering And Technology,,134.25,,,
,,CS,Computer Science And Engineering,2632 . Mahendra Institute Of Technology,,89.00,,,
132.00,90.00,EC,Electronics And Comm. Engineering,5903 . K.L.N.College Of Information Technology,86.25,151.25,,,
,,EC,Electronics And Comm. Engineering,1225 . Loyola Institute Of Technology,,81.25,,,
,,EE,Electrical And Electronics Engineering,1431 . New Prince Shri Bhavani College Of Engineering And Technology,,79.25,,,
87.00,93.25,EC,Electronics And Comm. Engineering,2628 . Paavai College Of Engineering,86.00,105.00,,,
,,EE,Electrical And Electronics Engineering,1414 . Prince Shri Venkateshwara Padmavathy Engineering College,,98.25,,,
142.25,148.50,ME,Mechanical Engineering,4917 . Sethu Institute Of Technology (AUT),126.00,153.75,,79.00,
187.00,184.50,EE,Electrical And Electronics Engineering,4960 . Mepco Schlenk Engineering College (AUT),183.25,189.00,132.00,157.25,
,,EE,Electrical And Electronics Engineering,2640 . Jayalakshmi Institute Of Technology,,88.75,,,
194.75,193.50,ME,Mechanical Engineering,2377 . PSG Institute Of Technology And Applied Research,191.50,195.50,175.50,174.00,
92.25,,EC,Electronics And Comm. Engineering,4669 . Thamirabharani Engineering College,87.50,124.25,,,
,,CS,Computer Science And Engineering,2650 . Christ The King Engineering College,,90.75,,,
,,XC,Civil Engineering (Tm),5022 . University College Of Engineering- Dindigul,,92.50,,,
,,EC,Electronics And Comm. Engineering,1409 . Karpaga Vinayaga College Of Engineering And Technology,,79.00,,,
156.25,129.25,ME,Mechanical Engineering,2726 . SNS College Of Technology (AUT),145.50,166.50,142.50,80.75,
,,CE,Civil Engineering,5851 . Veerammal Engineering College,,135.50,,,
138.75,127.25,CS,Computer Science And Engineering,4971 . St.Xavier's Catholic College Of Engineering,88.75,155.25,,,
89.00,,CS,Computer Science And Engineering,2629 . Sengunthar College Of Engineering,90.25,110.00,,,
,,EC,Electronics And Comm. Engineering,2368 . Vishnu Lakshmi College Of Engineering And Technology,,163.25,,,
