bc,bcm,bcode,bname,hd,mbc,oc,sca,sc,st
,,EC,Electronics And Comm. Engineering,2753 . PPG Institute Of Technology,,92.50,,,
,,ME,Mechanical Engineering,2746 . Ktvr Knowledge Park For Engineering And Technology,,93.50,,,
,,EE,Electrical And Electronics Engineering,2745 . Kathir College Of Engineering,,95.50,,,
170.75,147.75,EE,Electrical And Electronics Engineering,4023 . University College Of Engineering- Nagercoil,138.50,175.50,156.25,143.75,
,,CS,Computer Science And Engineering,5924 . Ganapathy Chettiar College Of Engineering And Technology,,88.25,,,
,,EC,Electronics And Comm. Engineering,4961 . National College Of Engineering,,103.25,,,
,,EE,Electrical And Electronics Engineering,5912 . Pandian Saraswathi Yadav Engineering College,,88.75,,,
95.75,,EC,Electronics And Comm. Engineering,4996 . Sri Vidya College Of Engineering & Technology,100.75,140.50,,,
,,CE,Civil Engineering,2753 . PPG Institute Of Technology,,92.75,,,
169.75,157.00,ME,Mechanical Engineering,1013 . University College Of Engineering- Villupuram,174.00,180.25,162.00,161.00,162.00
174.00,124.75,EC,Electronics And Comm. Engineering,2739 . Sri Eshwar College Of Engineering,107.00,180.25,,89.25,
,,ME,Mechanical Engineering,1439 . S.R.I College Of Engineering And Technology,,83.00,,,
,,EE,Electrical And Electronics Engineering,2747 . Shree Venkateshwara Hi-Tech Engineering College,,93.50,,,
,,ME,Mechanical Engineering,5842 . Madurai Institute Of Engineering And Technology,,124.00,,,
,,ME,Mechanical Engineering,1433 . Sri Aravindar Engineering College,,85.50,,,
,,CS,Computer Science And Engineering,4985 . K N S K College Of Engineering,,116.25,,,
,,EC,Electronics And Comm. Engineering,1232 . Arm College Of Engineering And Technology,,80.75,,,
,,EC,Electronics And Comm. Engineering,4970 . Sree Sowdambika College Of Engineering,,91.75,,,
101.75,142.75,EE,Electrical And Electronics Engineering,2636 . A V S Engineering College,134.75,161.00,,100.50,
184.00,175.00,CS,Computer Science And Engineering,2722 . Sri Krishna College Of Technology (AUT),171.75,186.50,126.25,112.50,
94.75,97.50,CH,Chemical Engineering,4917 . Sethu Institute Of Technology (AUT),,117.25,,92.00,
,93.25,EC,Electronics And Comm. Engineering,5832 . N P R College Of Engineering And Technology,,101.00,,,
154.25,164.50,CE,Civil Engineering,2739 . Sri Eshwar College Of Engineering,140.00,168.50,,,
89.50,88.25,CE,Civil Engineering,2608 . M.Kumarasamy College Of Engineering (AUT),81.50,122.75,109.25,97.75,
,,EC,Electronics And Comm. Engineering,1121 . Sri Venkateswara Institute Of Science And Technology,,167.25,,,
,,ME,Mechanical Engineering,2646 . Tagore Institute Of Engineering And Technology,,79.25,,,
,,EC,Electronics And Comm. Engineering,1441 . A.K.T. Memorial College Of Engineering And Technology,,108.75,,,
94.75,,EC,Electronics And Comm. Engineering,1238 . Grt Institute Of Engineering And Technology,113.25,145.25,,103.75,
94.00,94.25,CS,Computer Science And Engineering,2651 . Jay Shriram Group Of Institutions,91.00,129.75,,,
160.00,144.25,CE,Civil Engineering,4971 . St.Xavier's Catholic College Of Engineering,83.00,169.75,,137.75,
,,EC,Electronics And Comm. Engineering,4976 . Infant Jesus College Of Engineering,,115.75,,,
,,EC,Electronics And Comm. Engineering,2704 . Coimbatore Institute Of Engineering And Technology,,90.50,,,
,,CS,Computer Science And Engineering,1605 . Idhaya Engineering College For Women,,102.75,,,
157.25,141.50,ME,Mechanical Engineering,2607 . K.S.Rangasamy College Of Technology (AUT),151.00,166.50,100.75,82.25,
,,CE,Civil Engineering,1414 . Prince Shri Venkateshwara Padmavathy Engineering College,,89.00,,,
163.00,155.50,ME,Mechanical Engineering,1015 . University College Of Engineering- Arni,166.00,170.50,119.75,154.75,
96.75,,ME,Mechanical Engineering,1213 . S.K.R. Engineering College,80.25,112.25,,,
160.75,138.50,EC,Electronics And Comm. Engineering,2708 . Hindusthan College Of Engineering And Technology (AUT),146.00,171.25,141.75,105.25,
,,EE,Electrical And Electronics Engineering,4928 . MAR Ephraem College Of Engineering And Technology,,91.00,,,
86.75,,CS,Computer Science And Engineering,1217 . Sree Sastha Institute Of Engineering And Technology,84.75,97.75,,,
,,EE,Electrical And Electronics Engineering,2651 . Jay Shriram Group Of Institutions,,93.75,,,
95.75,,CS,Computer Science And Engineering,2704 . Coimbatore Institute Of Engineering And Technology,85.25,133.50,,,
112.25,,EE,Electrical And Electronics Engineering,2617 . Sengunthar Engineering College,109.25,146.25,,,
118.50,99.75,ME,Mechanical Engineering,2741 . P A College Of Engineering And Technology,96.00,129.50,,104.25,
,,CE,Civil Engineering,2634 . Excel Engineering College,,88.75,,,
,,EE,Electrical And Electronics Engineering,2612 . P G P College Of Engineering And Technology,,83.75,,,
94.75,112.00,EE,Electrical And Electronics Engineering,2736 . Dr.N G P Institute Of Technology,106.75,118.00,,,
,,ME,Mechanical Engineering,5924 . Ganapathy Chettiar College Of Engineering And Technology,,83.25,,,
,,CS,Computer Science And Engineering,1439 . S.R.I College Of Engineering And Technology,,87.50,,,
,,ME,Mechanical Engineering,4943 . Satyam College Of Engineering And Technology,,107.25,,,
185.00,166.00,EE,Electrical And Electronics Engineering,2719 . Sri Ramakrishna Engineering College (AUT),178.00,187.00,150.00,144.00,115.25
,,EC,Electronics And Comm. Engineering,4973 . Rajas Engineering College,,113.50,,,
174.75,164.50,CE,Civil Engineering,1211 . Rajalakshmi Engineering College,168.25,176.75,,140.50,
,,CS,Computer Science And Engineering,2635 . CMS College Of Engineering,,83.50,,,
,,CS,Computer Science And Engineering,2748 . Surya Engineering College,,86.25,,,
93.50,89.75,CE,Civil Engineering,1206 . Lord Venkateshwaraa Engineering College,,113.75,83.25,,
165.25,121.00,CS,Computer Science And Engineering,2725 . Sri Ramakrishna Institute Of Technology,133.25,174.25,100.00,139.00,
95.75,,CS,Computer Science And Engineering,1512 . Ranippettai Engineering College,89.25,105.00,,,
111.00,,CH,Chemical Engineering,1115 . Sriram Engineering College,112.50,150.00,,81.00,
,,XM,Mechanical Engineering (Tm),5017 . University College Of Engineering- Ramanathapuram,,83.75,,,
172.50,162.50,ME,Mechanical Engineering,1324 . Sri Sai Ram Institute Of Technology,165.75,175.25,,134.25,
98.25,136.25,CE,Civil Engineering,4955 . Francis Xavier Engineering College,77.75,147.25,,107.00,
,,CE,Civil Engineering,1229 . Indira Institute Of Engineering And Technology,,96.50,,,
90.75,,ME,Mechanical Engineering,2750 . KIR - Kalaignar Karunanidhi Institute Of Technology,77.75,127.25,,90.25,
85.75,96.50,CE,Civil Engineering,1310 . Misrimal Navajee Munoth Jain Engineering College,92.75,126.75,,82.50,
89.75,,EE,Electrical And Electronics Engineering,2629 . Sengunthar College Of Engineering,113.25,147.75,,,
92.25,,CS,Computer Science And Engineering,1426 . Sri Ramanujar Engineering College,83.75,96.00,,,
,,ME,Mechanical Engineering,2733 . Angel College Of Engineering And Technology,,82.00,,,
112.00,,ME,Mechanical Engineering,4934 . Holy Cross Engineering College,87.00,139.50,,126.50,
194.75,194.25,CE,Civil Engineering,5008 . Thiagarajar College Of Engineering (AUT),193.75,195.50,173.00,185.25,177.00
,,EC,Electronics And Comm. Engineering,2673 . Sree Sakthi Engineering College,,90.75,,,
187.50,181.75,EC,Electronics And Comm. Engineering,1149 . ST.Joseph's Institute Of Technology,183.00,189.50,128.00,154.25,
104.00,,CS,Computer Science And Engineering,1418 . Sri Lakshmi Ammal Engineering College,86.50,110.75,,108.75,
,,CS,Computer Science And Engineering,1507 . Ganadipathy Tulsi's Jain Engineering College,,89.25,,,
,,CE,Civil Engineering,4983 . Lord Jegannath College Of Engineering And Technology,,129.75,,,
185.75,176.25,EC,Electronics And Comm. Engineering,1128 . R.M.K. College Of Engineering And Technology,177.00,187.50,96.75,155.75,153.75
,,EC,Electronics And Comm. Engineering,2682 . Professional Group Of Institutions,,93.00,,,
167.25,151.00,EE,Electrical And Electronics Engineering,1324 . Sri Sai Ram Institute Of Technology,162.25,172.00,,122.25,
